T_feed_K,P_feed_Pa,xF_benzene,N_stages,feed_stage,reflux_ratio,bottoms_flow_mols,xD_benzene,xB_toluene,QC_kW,QR_kW
345.7,101325.0,0.601,12,4,1.895,36.6,0.92333,0.957343,5.6514,5.9515
368.4,101325.0,0.7278,15,7,2.912,65.4,0.995489,0.413821,4.1066,0.8877
367.5,101325.0,0.7345,10,6,3.384,35.9,0.994434,0.729644,8.5278,5.3398
374.6,101325.0,0.3368,16,7,2.401,34.4,0.512993,0.999196,7.2911,5.1149
362.6,101325.0,0.5517,15,7,2.963,45.0,0.989894,0.983771,6.6209,6.7052
352.1,101325.0,0.5293,11,7,2.236,40.5,0.856501,0.9514,6.0022,6.2372
376.6,101325.0,0.7698,12,4,3.981,41.5,0.998841,0.553065,8.8342,5.5349
351.3,101325.0,0.4007,16,8,1.729,67.6,0.941314,0.858408,2.7129,3.0215
377.7,101325.0,0.3971,14,6,1.954,66.5,0.73654,0.773896,3.1454,0.1764
358.8,101325.0,0.2661,15,4,3.036,39.4,0.438646,0.999288,8.0479,8.2976
353.0,101325.0,0.6383,14,5,3.462,41.4,0.99806,0.870962,7.9286,8.1004
371.0,101325.0,0.6182,15,9,1.968,48.3,0.96294,0.750809,4.6875,1.4567
361.2,101325.0,0.664,15,4,1.768,68.8,0.990522,0.484074,2.623,2.2155
375.4,101325.0,0.3926,14,4,2.844,40.9,0.660304,0.994226,7.2983,4.0246
374.3,101325.0,0.4804,13,7,3.258,44.4,0.851477,0.984277,7.3866,4.139
382.9,101325.0,0.3099,19,6,2.755,37.9,0.498916,0.999806,7.6311,4.2579
357.6,101325.0,0.7009,19,10,3.954,31.0,0.999183,0.963112,10.3625,10.4458
348.1,101325.0,0.7437,19,5,2.506,45.6,0.998134,0.559835,5.7832,5.952
371.6,101325.0,0.2763,19,8,3.34,67.1,0.835937,0.998087,4.467,4.5359
358.8,101325.0,0.7939,14,7,1.613,47.4,0.99458,0.428795,4.1708,2.8472
366.5,101325.0,0.7145,19,7,1.573,62.5,0.972901,0.44054,2.9414,0.2566
366.5,101325.0,0.5485,16,5,3.481,67.4,0.995149,0.667534,4.4323,3.0538
359.3,101325.0,0.6469,19,8,3.209,54.8,0.997969,0.642667,5.7689,5.8185
376.3,101325.0,0.792,10,4,2.968,65.1,0.99724,0.318029,4.1999,0.8956
377.9,101325.0,0.7692,18,8,3.023,39.4,0.998073,0.582823,7.3924,4.08
360.1,101325.0,0.2755,12,7,1.655,67.0,0.706382,0.936725,2.797,3.0334
362.9,101325.0,0.6075,15,9,3.423,67.7,0.997109,0.578384,4.3329,3.8674
383.4,101325.0,0.5761,13,4,1.681,65.3,0.91554,0.604276,2.8688,0.5271
380.3,101325.0,0.6425,19,10,3.424,41.1,0.996922,0.865395,7.9032,4.5803
372.9,101325.0,0.6499,18,8,2.822,65.4,0.990875,0.530493,4.0161,0.7465
376.3,101325.0,0.671,14,5,2.115,58.8,0.981622,0.546646,3.9053,0.5992
365.2,101325.0,0.6906,14,4,2.056,30.0,0.972941,0.968122,6.5213,3.6298
359.3,101325.0,0.2962,17,7,2.218,66.9,0.856827,0.981184,3.3203,3.5771
346.5,101325.0,0.7503,13,3,1.721,59.5,0.99534,0.416492,3.3435,3.5244
365.9,101325.0,0.5571,18,11,3.921,55.7,0.997404,0.793079,6.6113,5.4071
343.6,101325.0,0.473,10,6,1.915,35.0,0.695375,0.939981,6.0581,6.4327
375.2,101325.0,0.3427,19,10,2.548,47.9,0.656524,0.998638,5.9414,3.2687
341.6,101325.0,0.7516,15,9,3.433,63.5,0.998856,0.390523,4.9055,5.1542
374.1,101325.0,0.7484,17,8,1.94,34.6,0.991691,0.711459,5.8383,2.5751
342.5,101325.0,0.4718,11,3,3.135,42.9,0.805111,0.971836,7.4248,7.8337
344.3,101325.0,0.7811,14,7,3.6,53.4,0.999197,0.409224,6.4984,6.6985
343.8,101325.0,0.2287,16,9,2.203,32.6,0.339175,0.999706,7.1551,7.6606
378.8,101325.0,0.5058,13,4,3.98,66.9,0.989768,0.73365,5.0073,1.6802
369.5,101325.0,0.7161,18,9,3.888,48.3,0.998391,0.586062,7.6623,4.441
359.3,101325.0,0.4712,17,10,2.624,31.2,0.684736,0.999673,7.9837,8.1238
351.2,101325.0,0.4174,14,8,3.079,65.7,0.990483,0.881787,4.2494,4.5587
358.1,101325.0,0.336,17,5,3.837,41.6,0.575196,0.999794,9.1702,9.3992
376.3,101325.0,0.4747,11,3,2.821,66.1,0.937858,0.762836,3.977,0.6806
360.9,101325.0,0.4045,18,10,2.164,44.4,0.727032,0.999389,5.5993,5.7598
375.0,101325.0,0.685,20,9,2.115,33.2,0.989352,0.927407,6.3214,3.066
354.9,101325.0,0.3062,16,6,3.452,47.6,0.583774,0.999363,7.5657,7.8658
352.6,101325.0,0.4771,18,11,2.234,55.5,0.987687,0.932305,4.3736,4.6404
357.2,101325.0,0.3768,13,7,2.782,36.8,0.593608,0.995543,7.7429,7.9617
358.3,101325.0,0.5514,18,7,3.114,36.9,0.873688,0.999712,8.0676,8.2046
366.2,101325.0,0.5549,18,7,1.917,56.5,0.976905,0.770004,3.865,2.5453
376.0,101325.0,0.4118,10,4,3.782,54.6,0.829115,0.935196,6.7999,3.5267
346.9,101325.0,0.7003,10,4,2.251,50.4,0.994059,0.588796,4.8937,5.0996
359.6,101325.0,0.6757,12,4,2.519,39.9,0.995459,0.805971,6.4166,6.465
361.5,101325.0,0.2306,13,5,3.344,43.2,0.404154,0.99759,8.1414,8.3685
342.4,101325.0,0.7933,18,6,3.35,49.6,0.999194,0.415915,6.6463,6.8687
368.7,101325.0,0.6789,17,5,2.533,67.6,0.98971,0.470068,3.4772,0.2537
375.4,101325.0,0.2358,16,6,1.867,53.9,0.506773,0.995959,4.3219,3.5928
350.2,101325.0,0.7325,14,5,3.053,62.6,0.998406,0.426364,4.596,4.7311
382.7,101325.0,0.6731,11,4,3.388,45.1,0.995522,0.719391,7.3088,3.9434
368.1,101325.0,0.2289,11,4,3.068,56.2,0.501448,0.983512,5.8295,5.9557
343.6,101325.0,0.4343,16,6,3.004,63.5,0.992636,0.886592,4.4367,4.8542
383.8,101325.0,0.3788,13,4,1.958,59.4,0.691453,0.8349,3.8419,0.4493
356.4,101325.0,0.6614,10,5,2.132,55.9,0.991947,0.599371,4.1937,4.2768
383.1,101325.0,0.7565,19,5,1.985,43.8,0.991559,0.545105,5.094,1.7182
341.5,101325.0,0.7421,16,7,3.172,37.4,0.998933,0.687786,7.9178,8.1898
344.7,101325.0,0.5279,14,7,2.628,42.5,0.912016,0.991773,6.4372,6.7967
355.4,101325.0,0.5676,11,3,2.872,52.8,0.99159,0.811439,5.5495,5.7107
381.2,101325.0,0.7413,15,4,2.214,42.2,0.993557,0.604207,5.6385,2.2868
351.5,101325.0,0.4487,11,3,3.896,65.4,0.99172,0.838596,5.1437,5.425
360.2,101325.0,0.6606,16,10,3.399,65.9,0.998016,0.513996,4.5486,4.5684
343.9,101325.0,0.49,19,6,2.675,45.4,0.897123,0.99961,6.2092,6.6019
361.8,101325.0,0.3922,11,6,2.023,63.0,0.882171,0.895561,3.4707,3.6219
382.5,101325.0,0.2308,16,6,3.043,43.6,0.408476,0.999037,7.5214,4.1594
342.9,101325.0,0.679,19,7,1.542,49.5,0.991238,0.639545,3.8983,4.1748
366.6,101325.0,0.7392,14,7,2.617,66.7,0.994386,0.388201,3.6551,0.456
382.6,101325.0,0.6687,17,5,2.556,48.1,0.992029,0.68017,5.6035,2.2352
366.0,101325.0,0.7292,18,6,1.575,46.0,0.976221,0.560781,4.236,1.0518
342.7,101325.0,0.6903,11,4,3.611,63.7,0.998323,0.48523,5.0751,5.3383
383.8,101325.0,0.4321,10,3,2.33,67.0,0.822572,0.760223,3.4457,0.0504
345.1,101325.0,0.7028,13,6,2.278,63.5,0.996606,0.46608,3.6292,3.8516
356.5,101325.0,0.5117,17,9,3.632,37.6,0.819811,0.999631,9.0672,9.2463
363.2,101325.0,0.2294,16,6,2.827,51.4,0.47115,0.99918,6.1026,6.3088
351.2,101325.0,0.2227,19,7,1.788,65.7,0.640074,0.995196,3.0802,3.4976
381.3,101325.0,0.7305,11,5,1.538,65.9,0.978782,0.397974,2.6351,0.7315
349.9,101325.0,0.7494,12,6,3.436,44.7,0.998855,0.559209,7.4372,7.5778
347.2,101325.0,0.2659,11,5,2.356,42.8,0.453859,0.985297,6.3083,6.7428
372.1,101325.0,0.3589,17,7,2.938,34.3,0.546138,0.999745,8.4261,7.2667
353.1,101325.0,0.6161,15,8,1.639,65.1,0.987247,0.58287,2.7992,2.9482
361.8,101325.0,0.4382,15,5,3.586,62.1,0.99468,0.901416,5.2742,5.4123
384.3,101325.0,0.261,14,4,3.165,32.1,0.383797,0.998747,9.3454,5.9511
348.2,101325.0,0.2863,11,4,2.544,44.0,0.498772,0.984118,6.4949,6.9037
380.6,101325.0,0.6929,20,12,2.635,68.9,0.991039,0.441673,3.4331,0.0725
351.1,101325.0,0.2001,11,3,2.746,33.4,0.297123,0.993366,8.2881,8.6961
376.2,101325.0,0.3701,17,8,2.971,51.2,0.751739,0.993646,6.1454,2.875
379.6,101325.0,0.5692,12,7,3.707,41.4,0.950778,0.97087,8.447,5.1414
374.4,101325.0,0.4856,18,9,2.609,58.1,0.93385,0.837671,4.6465,1.3837
368.6,101325.0,0.27,12,3,2.434,62.3,0.672188,0.973377,4.1525,4.2571
351.9,101325.0,0.357,17,8,2.735,47.9,0.684563,0.999283,6.2311,6.5568
371.8,101325.0,0.5171,10,4,1.533,49.2,0.803103,0.778204,4.0478,0.7985
361.7,101325.0,0.6365,18,11,2.939,35.7,0.989254,0.998707,7.6946,7.5071
343.7,101325.0,0.7381,11,5,2.354,34.0,0.994745,0.76012,6.7171,6.9648
352.4,101325.0,0.2086,15,4,3.346,46.7,0.39077,0.999316,7.6509,8.04
356.9,101325.0,0.2916,15,8,1.999,66.3,0.807073,0.970413,3.1772,3.4691
380.8,101325.0,0.2918,15,7,1.964,43.7,0.509402,0.988542,5.4553,2.1122
349.4,101325.0,0.4177,15,9,3.955,47.2,0.789643,0.998368,8.2478,8.5869
344.2,101325.0,0.5147,11,4,1.651,58.2,0.956331,0.802486,3.3897,3.7405
366.7,101325.0,0.2107,10,4,3.018,40.9,0.345588,0.984211,7.8672,8.0165
374.2,101325.0,0.4142,18,7,3.892,53.6,0.889726,0.99743,7.0337,3.7993
349.8,101325.0,0.2263,11,4,3.913,55.0,0.488726,0.988412,7.2422,7.6671
358.2,101325.0,0.4573,14,9,2.487,45.3,0.829885,0.992595,5.9734,6.1575
352.6,101325.0,0.7702,11,3,2.515,32.2,0.996651,0.706636,7.2286,7.3305
379.4,101325.0,0.4154,18,6,2.948,41.9,0.714359,0.999145,7.3144,3.9958
378.8,101325.0,0.7964,12,5,2.397,30.5,0.996656,0.659923,7.1611,3.8448
375.3,101325.0,0.7105,16,4,2.564,66.9,0.992164,0.428858,3.5817,0.2836
365.6,101325.0,0.6355,14,5,3.153,52.9,0.996163,0.685618,5.9337,3.6725
370.4,101325.0,0.7351,14,8,3.541,43.5,0.99829,0.606745,7.7794,4.5506
354.6,101325.0,0.4999,13,7,2.208,46.6,0.914298,0.974952,5.2838,5.5075
346.7,101325.0,0.6806,16,9,1.932,64.8,0.994425,0.489873,3.1319,3.3417
349.3,101325.0,0.7173,16,9,2.473,37.1,0.997891,0.758417,6.6243,6.8015
362.1,101325.0,0.4946,12,6,3.602,38.7,0.79961,0.988525,8.8791,8.977
366.7,101325.0,0.4816,18,7,2.711,67.4,0.989888,0.764247,3.6748,3.2159
377.8,101325.0,0.628,12,5,2.909,64.1,0.99009,0.574792,4.2626,0.9378
358.7,101325.0,0.2988,14,5,3.319,35.5,0.46259,0.99879,9.1475,9.3787
384.9,101325.0,0.3184,12,6,2.168,44.3,0.550605,0.973559,5.744,2.347
378.3,101325.0,0.6118,13,4,2.242,65.6,0.969225,0.57563,3.4025,0.0697
348.2,101325.0,0.3777,20,7,2.591,51.0,0.770577,0.999766,5.5639,5.9438
373.2,101325.0,0.6914,15,6,2.109,46.8,0.987651,0.645363,5.0266,1.7655
364.4,101325.0,0.4538,18,7,3.772,67.8,0.99572,0.803588,4.6617,4.7339
343.9,101325.0,0.6588,11,6,3.931,34.4,0.978042,0.949913,9.8506,10.1519
361.0,101325.0,0.3591,16,10,3.903,48.5,0.696593,0.999267,8.072,8.2542
375.3,101325.0,0.3301,12,4,3.11,53.9,0.689122,0.976966,6.0633,3.5651
367.2,101325.0,0.4884,11,6,3.823,42.5,0.830949,0.975047,8.6834,7.9002
345.3,101325.0,0.7065,17,8,2.871,48.8,0.998257,0.599605,6.0095,6.2369
356.1,101325.0,0.6653,11,7,2.628,39.5,0.991677,0.834633,6.6648,6.7728
343.1,101325.0,0.4726,11,5,1.919,36.0,0.718963,0.965377,5.9532,6.3409
349.2,101325.0,0.6291,13,7,3.967,45.4,0.998303,0.814938,8.223,8.4489
371.4,101325.0,0.3069,14,5,3.67,38.7,0.499828,0.998694,9.3675,9.3784
371.5,101325.0,0.3469,13,7,3.836,66.7,0.961592,0.960019,4.9208,4.2831
362.5,101325.0,0.3807,15,10,2.569,31.6,0.55613,0.999027,7.9417,8.0695
357.0,101325.0,0.5355,16,9,3.863,32.5,0.793083,0.999478,10.3426,10.4964
383.2,101325.0,0.7904,17,6,1.582,67.7,0.98925,0.304473,2.5337,0.8499
371.2,101325.0,0.788,16,6,1.845,47.9,0.992082,0.433976,4.5004,1.2573
340.9,101325.0,0.5397,18,6,2.338,49.9,0.993503,0.91594,5.076,5.4828
377.3,101325.0,0.3026,15,9,1.812,46.0,0.538105,0.973862,4.9495,1.6501
352.2,101325.0,0.7829,16,7,2.831,31.5,0.998953,0.686929,7.9558,8.057
372.9,101325.0,0.7613,17,5,2.614,69.1,0.994891,0.343156,3.3885,0.1194
348.4,101325.0,0.7697,19,10,3.003,69.0,0.998576,0.333128,3.7624,3.905
384.2,101325.0,0.253,12,7,1.684,43.8,0.42563,0.968502,4.9687,1.5792
343.4,101325.0,0.6846,17,9,2.372,55.4,0.996884,0.566805,4.5614,4.8229
377.6,101325.0,0.3957,18,5,3.471,33.7,0.596755,0.999847,9.5989,6.29
365.8,101325.0,0.763,17,10,2.291,58.7,0.994197,0.399665,4.1248,0.9375
372.7,101325.0,0.7384,12,4,3.191,56.3,0.997199,0.462479,5.5545,2.2912
361.8,101325.0,0.4182,16,10,3.014,57.3,0.967714,0.99124,5.2307,5.3946
358.5,101325.0,0.7442,10,5,2.696,33.7,0.992537,0.744343,7.4393,7.4683
356.1,101325.0,0.6661,17,5,1.848,36.7,0.99408,0.899608,5.4712,5.5862
382.7,101325.0,0.6755,10,5,2.42,47.2,0.986471,0.672369,5.4892,2.1191
355.6,101325.0,0.2685,15,9,2.056,47.3,0.507508,0.997794,5.266,5.5722
353.3,101325.0,0.6693,12,7,2.631,40.7,0.995795,0.806436,6.5322,6.6774
355.8,101325.0,0.2633,13,8,2.686,41.1,0.444686,0.996641,7.1401,7.4404
350.6,101325.0,0.2375,12,7,3.228,57.6,0.546377,0.989867,5.8381,6.2474
346.4,101325.0,0.5221,11,3,3.939,66.4,0.996091,0.71775,5.0342,5.3394
341.0,101325.0,0.627,13,6,3.009,37.0,0.981928,0.977246,7.685,8.0498
373.7,101325.0,0.7296,20,10,2.934,50.3,0.996733,0.534346,5.9304,2.6591
378.0,101325.0,0.6406,20,7,3.994,70.0,0.995792,0.511625,4.5452,1.2141
382.6,101325.0,0.7446,11,4,3.454,34.0,0.996837,0.745063,8.9161,5.5585
376.1,101325.0,0.7481,14,6,1.758,35.0,0.987391,0.696293,5.4484,2.1611
384.5,101325.0,0.5767,15,8,1.696,53.3,0.890643,0.698369,3.9007,0.4988
378.7,101325.0,0.3043,16,5,2.864,56.4,0.670998,0.979175,5.4045,2.1003
371.4,101325.0,0.6608,18,8,2.536,52.0,0.991124,0.644113,5.1543,1.9123
354.1,101325.0,0.4023,12,4,3.084,31.2,0.581613,0.993107,9.1147,9.3638
349.3,101325.0,0.6543,15,9,2.121,67.8,0.99459,0.507312,3.0496,3.2332
377.8,101325.0,0.5828,12,6,3.886,33.0,0.863246,0.986585,10.1928,6.8975
358.0,101325.0,0.6201,20,5,2.459,68.7,0.995139,0.550769,3.285,3.3562
371.0,101325.0,0.2208,13,8,1.901,43.2,0.385269,0.995447,5.4446,5.5194
355.5,101325.0,0.5389,20,9,1.826,66.8,0.983929,0.682281,2.8536,3.009
362.6,101325.0,0.3912,19,7,2.292,65.6,0.973377,0.914079,3.452,3.6009
363.6,101325.0,0.2939,11,4,2.603,66.1,0.764218,0.947306,3.866,4.0411
372.0,101325.0,0.6923,11,4,2.918,32.1,0.978478,0.912989,8.1006,4.8762
370.7,101325.0,0.6136,18,8,1.996,59.9,0.958769,0.617476,3.6732,0.4326
360.9,101325.0,0.6577,16,5,2.35,58.4,0.995903,0.583211,4.2277,4.145
344.2,101325.0,0.2054,11,4,3.79,40.7,0.342037,0.99368,9.4126,9.9299
362.0,101325.0,0.6215,12,3,2.254,50.0,0.993027,0.750029,4.9389,4.793
362.6,101325.0,0.5393,13,8,3.0,65.6,0.995119,0.699726,4.175,4.2239
374.2,101325.0,0.4136,17,11,2.661,31.6,0.60445,0.999505,8.1014,4.8324
382.6,101325.0,0.7527,20,5,3.922,56.9,0.998427,0.433431,6.4321,3.0558
380.8,101325.0,0.5193,17,9,1.823,61.3,0.854073,0.692051,3.4071,0.0449
348.3,101325.0,0.3693,17,5,3.887,46.5,0.689991,0.999665,8.3658,8.7403
352.5,101325.0,0.6296,16,4,3.217,42.9,0.998048,0.860809,7.3014,7.4837
354.4,101325.0,0.2839,14,8,3.041,64.0,0.770034,0.989547,4.6004,4.9378
348.9,101325.0,0.6862,11,7,3.262,62.3,0.997931,0.502439,4.8723,5.0489
376.8,101325.0,0.7558,13,5,2.509,46.7,0.995905,0.518238,5.6739,2.3689
352.0,101325.0,0.7222,17,6,3.853,53.9,0.999023,0.514563,6.7825,6.9006
372.0,101325.0,0.7236,11,3,3.911,32.1,0.995326,0.851103,10.1173,6.8887
384.8,101325.0,0.6394,13,4,1.558,51.2,0.922632,0.630557,3.8441,0.439
380.8,101325.0,0.6121,14,5,2.387,58.5,0.978156,0.64758,4.2803,0.9251
346.6,101325.0,0.2573,15,5,3.014,56.1,0.583269,0.99778,5.7151,6.1784
347.6,101325.0,0.4168,13,3,3.658,57.2,0.949402,0.981684,6.1069,6.4884
341.1,101325.0,0.4739,19,6,3.881,62.0,0.997002,0.846755,5.6255,6.0529
377.2,101325.0,0.3792,10,3,1.767,67.2,0.700731,0.777738,2.8997,0.4165
349.7,101325.0,0.5945,16,9,3.428,64.3,0.997501,0.62925,4.794,5.0075
347.8,101325.0,0.4414,16,7,2.494,36.6,0.695696,0.999099,7.0824,7.4194
362.3,101325.0,0.3632,15,6,2.855,40.2,0.606476,0.998686,7.4563,7.6047
373.1,101325.0,0.5792,11,7,2.915,64.2,0.985026,0.6471,4.2618,0.9956
362.4,101325.0,0.2018,12,7,3.543,31.7,0.294299,0.997495,10.3096,10.5327
349.8,101325.0,0.238,10,5,3.168,66.8,0.628327,0.955994,4.4637,4.886
382.2,101325.0,0.5046,19,9,1.803,42.0,0.832901,0.948769,5.0887,1.7366
363.1,101325.0,0.378,16,7,1.539,62.2,0.882242,0.928434,2.978,3.1216
361.4,101325.0,0.6345,13,3,2.468,52.8,0.995814,0.688492,4.9659,4.9732
349.5,101325.0,0.3135,18,9,2.179,63.2,0.840827,0.99354,3.6568,4.0606
378.1,101325.0,0.4097,14,9,2.359,44.4,0.7225,0.982002,5.9484,2.6453
362.6,101325.0,0.6053,10,6,3.309,69.4,0.995849,0.566901,4.0001,3.7445
384.1,101325.0,0.3104,12,6,1.714,31.5,0.446526,0.98562,6.1132,2.7176
347.2,101325.0,0.5526,16,5,3.855,37.7,0.886504,0.999171,9.3781,9.6837
368.9,101325.0,0.5587,12,4,2.669,68.4,0.981326,0.636547,3.5282,0.8519
356.7,101325.0,0.4649,10,5,1.527,35.3,0.680015,0.929374,5.2386,5.4158
378.5,101325.0,0.3673,15,6,2.199,45.3,0.658714,0.984582,5.6227,2.3127
356.3,101325.0,0.4399,15,8,1.621,41.8,0.751784,0.994347,4.8374,5.0515
346.6,101325.0,0.3565,17,9,1.641,52.3,0.743136,0.996126,4.0002,4.4142
365.8,101325.0,0.5025,13,4,2.878,50.8,0.978382,0.958448,5.8098,5.5072
376.7,101325.0,0.4778,15,6,2.515,52.5,0.909702,0.912973,5.1543,1.8734
352.8,101325.0,0.5927,18,10,2.7,67.1,0.995635,0.604864,3.6931,3.8585
369.8,101325.0,0.6378,19,7,3.57,65.6,0.995105,0.549566,4.77,1.5368
342.5,101325.0,0.5302,12,7,3.995,47.7,0.981616,0.964676,7.9494,8.3445
340.9,101325.0,0.7979,10,4,2.334,42.4,0.99717,0.472806,5.8242,6.0682
349.2,101325.0,0.5743,18,6,3.331,57.4,0.997394,0.73971,5.5953,5.8378
348.0,101325.0,0.68,12,6,3.86,49.5,0.998588,0.645024,7.4412,7.6445
381.8,101325.0,0.6675,16,7,3.197,49.3,0.996096,0.670426,6.455,3.0954
340.7,101325.0,0.3078,16,6,2.896,59.5,0.75573,0.99709,5.0008,5.5375
368.2,101325.0,0.24,16,7,1.782,58.5,0.570801,0.99467,3.7498,3.8745
355.2,101325.0,0.4865,15,5,2.358,58.2,0.988953,0.874359,4.2646,4.4767
352.9,101325.0,0.314,16,5,3.893,58.8,0.759985,0.99849,6.3849,6.7289
355.3,101325.0,0.3089,12,6,2.728,40.0,0.509819,0.992478,7.3121,7.5955
340.7,101325.0,0.6208,20,8,3.781,37.6,0.995236,0.999627,9.0044,9.368
350.8,101325.0,0.5428,12,6,2.063,53.2,0.982999,0.844459,4.3607,4.6071
375.9,101325.0,0.7394,16,7,2.84,38.9,0.997222,0.665559,7.1157,3.8289
379.8,101325.0,0.353,14,7,2.644,69.6,0.753125,0.821768,3.5123,0.1725
373.7,101325.0,0.7553,17,5,3.474,56.6,0.997998,0.430797,5.8879,2.6133
357.4,101325.0,0.6633,18,12,2.003,62.2,0.994236,0.537815,3.4449,3.5074
349.5,101325.0,0.4234,11,4,3.321,62.4,0.97308,0.907843,4.9527,5.2889
371.9,101325.0,0.2074,14,4,3.296,44.3,0.371403,0.998807,7.9142,7.9822
379.0,101325.0,0.3287,19,9,2.325,44.2,0.587683,0.998249,6.0144,2.6973
361.5,101325.0,0.7617,17,7,1.646,36.5,0.99135,0.637826,5.1022,2.7807
340.4,101325.0,0.5718,14,7,3.287,63.7,0.997025,0.670518,4.7198,5.0847
384.5,101325.0,0.3008,11,3,3.667,35.3,0.459385,0.989865,9.918,6.5208
343.3,101325.0,0.6266,11,4,2.706,62.9,0.995847,0.591191,4.1711,4.461
382.3,101325.0,0.7094,13,7,2.73,44.6,0.995455,0.645922,6.2695,2.9053
344.1,101325.0,0.4117,20,10,2.526,69.5,0.985697,0.840191,3.2697,3.682
372.4,101325.0,0.3063,12,6,2.779,52.1,0.623617,0.985435,5.8425,5.4083
362.2,101325.0,0.6371,14,4,1.988,35.0,0.968658,0.978579,5.9261,5.4148
358.5,101325.0,0.4661,16,9,1.685,51.6,0.937026,0.975593,3.9906,4.1749
363.9,101325.0,0.3155,11,7,3.085,47.5,0.585055,0.982428,6.9542,7.1022
355.0,101325.0,0.6362,12,5,1.726,56.5,0.989563,0.635857,3.6023,3.7196
372.1,101325.0,0.2761,15,10,3.614,58.1,0.655676,0.997638,6.2145,6.2604
345.4,101325.0,0.7327,13,5,2.267,52.9,0.997303,0.502891,4.6667,4.8752
361.9,101325.0,0.7935,10,5,2.758,48.4,0.997226,0.423695,5.881,2.7968
369.9,101325.0,0.5342,18,9,3.645,31.6,0.780913,0.999821,10.0302,7.251
365.1,101325.0,0.5183,11,6,2.602,30.8,0.737775,0.974805,7.9212,7.7016
375.0,101325.0,0.5672,17,10,2.927,52.0,0.987963,0.821194,5.7281,2.4603
364.8,101325.0,0.4685,17,6,2.391,60.6,0.988071,0.869329,4.06,4.1301
367.5,101325.0,0.2248,17,11,3.87,46.2,0.417706,0.999838,8.636,8.7697
356.7,101325.0,0.7403,18,7,3.266,57.4,0.998722,0.451491,5.5098,5.5485
367.7,101325.0,0.242,12,4,2.342,50.7,0.479826,0.989259,5.4016,5.525
359.8,101325.0,0.2973,20,12,3.968,56.7,0.686475,0.999899,6.8864,7.1241
379.4,101325.0,0.6866,13,5,1.832,68.4,0.979767,0.44884,2.7242,0.623
344.5,101325.0,0.7924,11,6,3.407,49.8,0.999002,0.415862,6.7069,6.9002
359.7,101325.0,0.7718,19,8,3.164,55.1,0.99856,0.412983,5.6686,4.1846
354.1,101325.0,0.7944,14,4,1.568,44.9,0.995932,0.452914,4.2925,4.3494
343.6,101325.0,0.5796,10,3,3.505,32.1,0.831305,0.952822,9.5773,9.9069
361.5,101325.0,0.2927,19,11,1.644,51.0,0.596518,0.999203,4.1954,4.3998
348.7,101325.0,0.2013,10,6,3.183,65.9,0.526209,0.966824,4.6552,5.1144
383.6,101325.0,0.4891,17,9,3.413,62.7,0.979521,0.802652,5.0111,1.6344
369.3,101325.0,0.3276,15,8,3.313,55.7,0.735652,0.996934,6.0738,6.1438
360.0,101325.0,0.2095,14,8,3.567,52.0,0.434653,0.998333,7.2157,7.4847
365.9,101325.0,0.755,20,5,3.563,39.6,0.998652,0.616631,8.356,5.1791
365.1,101325.0,0.3291,11,5,3.894,66.1,0.886035,0.95652,5.1444,5.2869
345.3,101325.0,0.7256,13,7,3.611,38.8,0.998901,0.705489,8.5553,8.7822
381.2,101325.0,0.6325,10,5,1.775,50.2,0.942674,0.675204,4.2389,0.8809
358.3,101325.0,0.6139,11,6,3.084,58.0,0.996189,0.66293,5.2033,5.2832
345.2,101325.0,0.4924,18,11,2.618,36.3,0.772848,0.999733,7.2849,7.6401
362.8,101325.0,0.7656,10,3,1.993,54.7,0.992135,0.422005,4.1165,1.0891
378.2,101325.0,0.5803,17,5,2.494,40.1,0.960882,0.988139,6.3961,3.1107
349.7,101325.0,0.2298,13,3,2.761,53.3,0.486092,0.994755,5.7549,6.1795
382.5,101325.0,0.5065,17,4,2.082,57.8,0.879686,0.765966,4.0376,0.6637
354.2,101325.0,0.7726,19,11,3.248,37.1,0.999129,0.611461,8.1003,8.1724
361.9,101325.0,0.2904,19,8,1.662,63.8,0.777278,0.985856,3.0439,3.257
349.9,101325.0,0.648,16,9,2.705,39.6,0.997412,0.884965,6.7866,7.001
380.5,101325.0,0.2334,10,3,2.015,42.4,0.380538,0.966485,5.7401,2.3984
383.4,101325.0,0.7717,12,6,3.804,69.7,0.997962,0.326661,4.4139,1.0261
358.5,101325.0,0.5629,18,5,2.726,31.6,0.822846,0.999765,7.9909,8.1108
377.0,101325.0,0.745,19,12,2.697,35.9,0.997043,0.705026,7.1874,3.8912
349.7,101325.0,0.4312,16,5,2.241,45.0,0.782179,0.997771,5.6263,5.9516
356.9,101325.0,0.464,15,9,1.896,35.9,0.722257,0.997119,5.9127,6.0995
356.7,101325.0,0.7533,19,7,1.576,47.0,0.994628,0.518835,4.143,4.1805
379.8,101325.0,0.4948,14,5,2.008,60.9,0.856815,0.737628,3.6662,0.3203
369.1,101325.0,0.2219,14,6,2.211,65.8,0.619227,0.984613,3.5464,3.669
348.1,101325.0,0.3603,12,3,2.483,36.8,0.564801,0.990907,7.1543,7.5219
355.7,101325.0,0.3067,17,10,3.506,39.6,0.507663,0.999819,8.899,9.1779
384.7,101325.0,0.6046,17,11,2.11,52.3,0.961743,0.721135,4.5328,1.137
375.6,101325.0,0.218,16,7,1.953,54.6,0.47657,0.997001,4.3967,3.9061
